ibge_id,uf,uf_name,name,capital,lon,lat,no_accents,alternative_names,microregion,mesoregion
1100015,RO,Rondônia,Alta Floresta D'Oeste,,-61.9998238963,-11.9355403048,Alta Floresta D'Oeste,,Cacoal,Leste Rondoniense
1100023,RO,Rondônia,Ariquemes,,-63.033269278,-9.9084628666,Ariquemes,,Ariquemes,Leste Rondoniense
1100031,RO,Rondônia,Cabixi,,-60.5443135812,-13.4997634597,Cabixi,,Colorado do Oeste,Leste Rondoniense
1100049,RO,Rondônia,Cacoal,,-61.4429442118,-11.4338650287,Cacoal,,Cacoal,Leste Rondoniense
1100056,RO,Rondônia,Cerejeiras,,-60.8184261647,-13.195033032,Cerejeiras,,Colorado do Oeste,Leste Rondoniense
1100064,RO,Rondônia,Colorado do Oeste,,-60.5550674631,-13.1305638415,Colorado do Oeste,,Colorado do Oeste,Leste Rondoniense
1100072,RO,Rondônia,Corumbiara,,-60.9487011707,-12.9975202365,Corumbiara,,Colorado do Oeste,Leste Rondoniense
1100080,RO,Rondônia,Costa Marques,,-64.2316539391,-12.4360138777,Costa Marques,,Guajará-Mirim,Madeira-Guaporé
1100098,RO,Rondônia,Espigão D'Oeste,,-61.0201731133,-11.5285546333,Espigao D'Oeste,,Cacoal,Leste Rondoniense
1100106,RO,Rondônia,Guajará-Mirim,,-65.3239518197,-10.7738837407,Guajara-Mirim,,Guajará-Mirim,Madeira-Guaporé
1100114,RO,Rondônia,Jaru,,-62.4762307081,-10.4359487679,Jaru,,Ji-Paraná,Leste Rondoniense
1100122,RO,Rondônia,Ji-Paraná,,-61.9450945827,-10.8820513183,Ji-Parana,,Ji-Paraná,Leste Rondoniense
1100130,RO,Rondônia,Machadinho D'Oeste,,-61.9995925724,-9.42556248,Machadinho D'Oeste,,Ariquemes,Leste Rondoniense
1100148,RO,Rondônia,Nova Brasilândia D'Oeste,,-62.308230163,-11.7213254139,Nova Brasilandia D'Oeste,,Alvorada D'oeste,Leste Rondoniense
1100155,RO,Rondônia,Ouro Preto do Oeste,,-62.2610551904,-10.7235739008,Ouro Preto do Oeste,,Ji-Paraná,Leste Rondoniense
1100189,RO,Rondônia,Pimenta Bueno,,-61.1836656736,-11.67753699,Pimenta Bueno,,Vilhena,Leste Rondoniense
1100205,RO,Rondônia,Porto Velho,true,-63.8314456544,-8.76889179,Porto Velho,,Porto Velho,Madeira-Guaporé
1100254,RO,Rondônia,Presidente Médici,,-61.9094386835,-11.1732050162,Presidente Medici,,Ji-Paraná,Leste Rondoniense
1100262,RO,Rondônia,Rio Crespo,,-62.900010366,-9.7055367097,Rio Crespo,,Ariquemes,Leste Rondoniense
1100288,RO,Rondônia,Rolim de Moura,,-61.7857809352,-11.7222589134,Rolim de Moura,,Cacoal,Leste Rondoniense
1100296,RO,Rondônia,Santa Luzia D'Oeste,,-61.7733054631,-11.9084233325,Santa Luzia D'Oeste,,Cacoal,Leste Rondoniense
1100304,RO,Rondônia,Vilhena,,-60.1385838661,-12.7413734718,Vilhena,,Vilhena,Leste Rondoniense
1100320,RO,Rondônia,São Miguel do Guaporé,,-62.7200634814,-11.6994897438,Sao Miguel do Guapore,,Alvorada D'oeste,Leste Rondoniense
1100338,RO,Rondônia,Nova Mamoré,,-65.3291490231,-10.4117712947,Nova Mamore,,Porto Velho,Madeira-Guaporé
1100346,RO,Rondônia,Alvorada D'Oeste,,-62.2772748657,-11.3441300234,Alvorada D'Oeste,,Alvorada D'oeste,Leste Rondoniense
1100379,RO,Rondônia,Alto Alegre dos Parecis,,-61.8530771686,-12.1317772246,Alto Alegre dos Parecis,,Cacoal,Leste Rondoniense
1100403,RO,Rondônia,Alto Paraíso,,-63.3176294335,-9.7166667381,Alto Paraiso,,Ariquemes,Leste Rondoniense
1100452,RO,Rondônia,Buritis,,-63.8296787918,-10.2098054072,Buritis,,Porto Velho,Madeira-Guaporé
1100502,RO,Rondônia,Novo Horizonte do Oeste,,-61.9943876628,-11.70974292,Novo Horizonte do Oeste,,Cacoal,Leste Rondoniense
1100601,RO,Rondônia,Cacaulândia,,-62.9031899346,-10.3388728394,Cacaulandia,,Ariquemes,Leste Rondoniense
1100700,RO,Rondônia,Campo Novo de Rondônia,,-63.6249914265,-10.5684164693,Campo Novo de Rondonia,,Porto Velho,Madeira-Guaporé
1100809,RO,Rondônia,Candeias do Jamari,,-63.7000200718,-8.7850207035,Candeias do Jamari,,Porto Velho,Madeira-Guaporé
1100908,RO,Rondônia,Castanheiras,,-61.9491611965,-11.4268422255,Castanheiras,,Cacoal,Leste Rondoniense
1100924,RO,Rondônia,Chupinguaia,,-60.90184775,-12.5568407611,Chupinguaia,,Vilhena,Leste Rondoniense
1100940,RO,Rondônia,Cujubim,,-62.5871745319,-9.3781933991,Cujubim,,Porto Velho,Madeira-Guaporé
